ID,ชนิด,รหัสสินค้า,"GTIN, UPC, EAN, or ISBN",ชื่อ,เผยแพร่แล้ว,เป็นรายการเด่นหรือไม่,การมองเห็นในแค็ตตาล็อก,คำอธิบายแบบย่อ,คำอธิบาย,วันเริ่มต้นลดราคา,วันสิ้นสุดการลดราคา,สถานะภาษี,กลุ่มภาษี,มีสินค้าในคลังสินค้า?,คลังสินค้า,สินค้าคงคลังเหลือน้อย,อนุญาตให้จองสินค้าหรือไม่,"จำกัดการขายแค่ 1 ชิ้นหรือไม่?","น้ำหนัก (กก.)","ยาว (เซนติเมตร)","กว้าง (เซนติเมตร)","สูง (เซนติเมตร)",เปิดให้ผู้ใช้รีวิวสินค้า?,บันทึกในการสั่งซื้อ,ราคาที่ลด,ราคาปกติ,หมวดหมู่,ป้ายกำกับ,ประเภทการจัดส่ง,ไฟล์รูปภาพ,ลิมิตจำนวนดาวน์โหลด,วันหมดอายุดาวน์โหลด,หลัก,สินค้ากลุ่ม,Up-sells,Cross-sells,"URL ภายนอก",ข้อความของปุ่ม,ตำแหน่ง,แบรนด์,"Product Swatch Type","Product Swatch Type Options","Product Brands","ชื่อคุณสมบัติ 1","ค่าคุณสมบัติ 1 ","คุณสมบัติภายนอกที่เห็นได้ 1","คุณสมบัติทั่วไป 1"
2045,variable,,,"มิกเซอร์ 6CH 99DSP บลูทูธ PRO PLUS GBR-6",1,0,visible,,"<article class=""4ever-article"" data-clipboard-cangjie=""[&quot;root&quot;,{&quot;copyFrom&quot;:1419615057},[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;รายละเอียดสินค้า&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• Input : 6&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• รูปแบบของInput : 4Combo Jack, 1USB, 2RCA&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• Output : 2XLR, 2Phone, 1AUX &quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• Output connector : XLR, Phone 6.5mm TS &quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• PEQ : 3Band&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• GEQ : 7Band&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• Effect : 99 Program&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• คุณสมบัติพิเศษ : USB/ Mp3/ Bluetooth/ 3-PEQ/ 7-GEQ&quot;]]]]"">รายละเอียดสินค้า
\n
\n• Input : 6
\n
\n• รูปแบบของInput : 4Combo Jack, 1USB, 2RCA
\n
\n• Output : 2XLR, 2Phone, 1AUX
\n
\n• Output connector : XLR, Phone 6.5mm TS
\n
\n• PEQ : 3Band
\n
\n• GEQ : 7Band
\n
\n• Effect : 99 Program
\n
\n• คุณสมบัติพิเศษ : USB/ Mp3/ Bluetooth/ 3-PEQ/ 7-GEQ
\n
\n</article>",,,taxable,,1,,,0,0,,,,,0,,,,"เครื่องเสียงกลางแจ้ง > MIXING CONSOLE, เครื่องเสียงกลางแจ้ง",,,"https://sahakhun.com/wp-content/uploads/2024/09/GBR-Series-1.jpg, https://sahakhun.com/wp-content/uploads/2024/09/GBR-Series-2.jpg, https://sahakhun.com/wp-content/uploads/2024/09/GBR-Series-3.jpg, https://sahakhun.com/wp-content/uploads/2024/09/GBR-Series-4.jpg",,,,,,,,,0,,"a:1:{s:32:""bef99584217af744e404ed44a33af589"";a:3:{s:12:""display_type"";s:7:""default"";s:13:""display_label"";s:7:""default"";s:12:""display_size"";s:7:""default"";}}","a:1:{s:32:""bef99584217af744e404ed44a33af589"";a:2:{s:32:""692253481aa6a51ee1980301e610f538"";a:4:{s:4:""type"";s:5:""image"";s:5:""color"";s:7:""#ffffff"";s:5:""image"";s:75:""https://sahakhun.com/wp-content/uploads/woocommerce-placeholder-300x300.png"";s:8:""image_id"";s:0:"""";}s:32:""77eb6a86f0e5aa39b6408331e33c02ef"";a:4:{s:4:""type"";s:5:""image"";s:5:""color"";s:7:""#ffffff"";s:5:""image"";s:75:""https://sahakhun.com/wp-content/uploads/woocommerce-placeholder-300x300.png"";s:8:""image_id"";s:0:"""";}}}",,Series,"GBR-6, GBR-8",1,0
2047,variation,,,"มิกเซอร์ 6CH 99DSP บลูทูธ PRO PLUS GBR-6 - GBR-6",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3500,,,,https://sahakhun.com/wp-content/uploads/2024/09/GBR-Series-2.jpg,,,id:2045,,,,,,2,,"a:1:{s:32:""bef99584217af744e404ed44a33af589"";a:3:{s:12:""display_type"";s:7:""default"";s:13:""display_label"";s:7:""default"";s:12:""display_size"";s:7:""default"";}}","a:1:{s:32:""bef99584217af744e404ed44a33af589"";a:2:{s:32:""692253481aa6a51ee1980301e610f538"";a:4:{s:4:""type"";s:5:""image"";s:5:""color"";s:7:""#ffffff"";s:5:""image"";s:75:""https://sahakhun.com/wp-content/uploads/woocommerce-placeholder-300x300.png"";s:8:""image_id"";s:0:"""";}s:32:""77eb6a86f0e5aa39b6408331e33c02ef"";a:4:{s:4:""type"";s:5:""image"";s:5:""color"";s:7:""#ffffff"";s:5:""image"";s:75:""https://sahakhun.com/wp-content/uploads/woocommerce-placeholder-300x300.png"";s:8:""image_id"";s:0:"""";}}}",,Series,GBR-6,,0
2048,variation,,,"มิกเซอร์ 6CH 99DSP บลูทูธ PRO PLUS GBR-6 - GBR-8",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3500,,,,https://sahakhun.com/wp-content/uploads/2024/09/GBR-Series-3.jpg,,,id:2045,,,,,,3,,"a:1:{s:32:""bef99584217af744e404ed44a33af589"";a:3:{s:12:""display_type"";s:7:""default"";s:13:""display_label"";s:7:""default"";s:12:""display_size"";s:7:""default"";}}","a:1:{s:32:""bef99584217af744e404ed44a33af589"";a:2:{s:32:""692253481aa6a51ee1980301e610f538"";a:4:{s:4:""type"";s:5:""image"";s:5:""color"";s:7:""#ffffff"";s:5:""image"";s:75:""https://sahakhun.com/wp-content/uploads/woocommerce-placeholder-300x300.png"";s:8:""image_id"";s:0:"""";}s:32:""77eb6a86f0e5aa39b6408331e33c02ef"";a:4:{s:4:""type"";s:5:""image"";s:5:""color"";s:7:""#ffffff"";s:5:""image"";s:75:""https://sahakhun.com/wp-content/uploads/woocommerce-placeholder-300x300.png"";s:8:""image_id"";s:0:"""";}}}",,Series,GBR-8,,0
2065,simple,903TM6,,"เพาเวอร์มิกซ์ 350W 6CH 99DSP บลูทูธ PRO PLUS TM-6",1,0,visible,,"รายละเอียดสินค้า
\n
\n• Power Mixer 6 Channel Mixer กำลังขับ 350วัตต์ / ข้าง ที่ 4โอห์ม
\n
\n• เครื่องขยายเสียง มี USB MP3 BLUETOOTH
\n
\n• เพาเวอร์มิกซ์ 6 XLR Bal Mic / Line (ใช้ปลั๊ก ได้2แบบ ใน 1port )
\n
